,Tier,Name,Domain,Profile Example,Profile Submission Link,TF,Traffic,Link Type,Free/Paid,Price,"Month/
Year",Notes,"Multiple/Single 
Profile"
Legal,1,Justia,justia.com,https://lawyers.justia.com/lawyer/richard-t-herman-489800,https://lawyers.justia.comnew-profile,67,"3,000,000",Dofollow,Free + Paid,$20,Month,"We have to claim profile if its already exists
If it does not exist then have to create one with this link:
https://lawyers.justia.com/new-profile
The administrator will review the profile and then approve it.",
Legal,1,Super Lawyers,superlawyers.com,https://profiles.superlawyers.commassachusetts/boston/lawyer/jeffrey-a-soilson/0d6ad75c-d178-4e76-a751-22d812b8f4de.html,https://my.superlawyers.com/contact.html?subject=First+Time+User+-+Create+Account,64,"650,000",Nofollow,Free + Paid,$160,Month,,
Legal Niche,1,NACDL,nacdl.org,https://www.nacdl.org/DirectorySearch/?fname=&lname=&city=&State=&zip=&dist=1&expertise=Controlled+Substances&dtype=public,https://members.nacdl.orgbecome-a-member,60,"30,000",Dofollow,Free,$349,Year,No individual profile,
Legal,1,AILA Directory,aila.org,https://www.ailalawyer.com/english/AttorneyDetail.aspx?P=18770&A=108890,https://www.aila.org/my-aila/account/sign-up,57,79.4k,Dofollow,Free,,,,Single
Legal,1,Law Info,lawinfo.com,https://www.lawinfo.comlawfirm/illinois/itasca/linda-bal-and-associates/ad36c9ee-ecef-4aaf-b5fd-501663e4ff8d.html,https://www.lawinfo.comlead-counsel/application/,56,"330,000",Nofollow,Free,,,,
Legal,1,Legal Match,legalmatch.com,https://www.legalmatch.com/find/rideshare-accident-lawyers/ny/brooklyn.html,,51,"200,000",Nofollow,Paid,$455,Month,,
Legal,1,Avvo,avvo.com,https://www.avvo.comattorneys/92881-ca-samantha-mcbride-4648209.html,https://www.avvo.com/add-your-lawyer-profile,50,"420,000",Nofollow,Free,,,"We have to claim profile if its already exists

If it does not exist then have to create one with this link:

https://www.avvo.com/add-your-lawyer-profile
The administrator will review the profile and then approve it.",
Legal,1,Best Lawyers,bestlawyers.com,https://www.bestlawyers.com/lawyers/ron-matten/269275,https://sso.bestlawyers.com/account/login,48,"200,000",Dofollow,Free + Paid,,,"Accounts are only available to awarded lawyers and firm representatives. Account can be requested through this link:
https://sso.bestlawyers.com/account/login
Lawyers who already listed on website can nominate another lawyer
There is also a paid option for which we have to contact the website representative. There are three packages; essential, advanced and premier.
https://www.bestlawyers.com/demand-generation-bundles",
Legal,,LawCrossing,lawcrossing.com,https://www.lawcrossing.com/lawfirmprofile/KrdFJ/Fox-Law-APC/,https://www.lawcrossing.com/employers/lcjpsignup.php ,48,18.1K,Dofollow,Free,,,,Single
Legal,,LawJobs.com,lawjobs.com,https://lawjobs.com/company/bhurtel-law-firm-pllc-336543,https://lawjobs.com/register-employer,48,3.3k,Nofollow,Free,,,,Single
Legal,1,Martindale - Hubbel,martindale.com,https://www.martindale.com/attorney/leslie-irene-snyder-27645860/,https://www.martindale-avvo.com/services/provantage/,45,"80,000",Nofollow,Paid,$399,Month,"They offer is ProVantage which is attorney profiles on 4 directories (lawyers.com,martindale.com,nolo.com & avvo.com) The cost for new customers is $399/month for 12 months",
Legal,1,NOLO,nolo.com,https://lawyers.nolo.com/profile/fradin-law,contact support,44,"987,528",Nofollow,Paid,$399,Month,"They offer  ProVantage which is attorney profiles on 4 directories (lawyers.com,martindale.com,nolo.com & avvo.com) The cost for new customers is $399/month for 12 months",Single
Legal,1,Lawyers.com,lawyers.com,"https://www.lawyers.com/new-york/new-york/gersowitz-libo-and-korek-p-c-493371-f/
https://www.lawyers.com/new-york/new-york/jeff-s-korek-493375-a/",,40,,Nofollow,Paid,$399,Month,"They offer is ProVantage which is attorney profiles on 4 directories (lawyers.com,martindale.com,nolo.com & avvo.com) The cost for new customers is $399/month for 12 months",Mulitple
Legal,1,HG,hg.org,https://www.hg.orgattorney/rubino-ruman-crosmer-and-polen/91900,https://www.hg.orgcompare-basic-premium,40,"41,000",Dofollow,Free + Paid,$195,Year,,
Legal,1,The National Trial Lawyers,thenationaltriallawyers.org,https://thenationaltriallawyers.org/members/r-james-amaro/,https://thenationaltriallawyers.org/our-member-portal/,39,19.8k,Dofollow,Undefined,,,"We need to contact their team to set up a lawyer account for us, as they haven't provided clear information about the pricing structure.",
Legal,,US News Lawyers,lawyers.usnews.com,https://lawyers.usnews.comlawyers/lesley-renee-adams/327210,https://lawyers.usnews.comfor-lawyers,36,"100,000",Dofollow,Free + Paid,$30/mo,,,
Legal,,Lawyer Pages,lawyers.law.com,https://lawyers.law.comlisting/clancy-diaz-llp.html,https://lawyers.law.comadvertise,35,"1,500",Nofollow,Free + Paid,$97/mo,,,
Legal Niche,,Criminal Law,criminallaw.com,https://criminallaw.com/lawyer/alan-e-weinstein,https://criminallaw.com/lawyer-home,34,"1,000",Dofollow,Free,,,,
Legal,,Distingished Justice Advocate,distinguishedjusticeadvocates.com,https://distinguishedjusticeadvocates.com/listing/attorney-christopher-hudson/,https://distinguishedjusticeadvocates.com/apply-for-dja/,32,500,Dofollow,Paid,$300,Year,"$1,000.00 (one-time) which includes a $300.00 annual fee for ongoing optimization of your profile
High authority do-follow backlink from our website",
Legal,,NAELA Directory,naela.org,https://www.naela.org/Shared_Content/Directories/Profile.aspx?id=61,https://www.naela.org/Web/Web/Join_NAELA/Join_Now_New.aspx?SourceCode=WEBJOIN,29,11.6K,Dofollow,Free,,,,Single
Legal,,HALT,halt.org,https://www.halt.org/lawyers/petrelli-previtera-llc,https://www.halt.org/,27,"2,305",Dofollow,Paid,$199,Year,"Starter: $199/year
Premium: $499/year
Contributer: $999/year",Mulitple
Legal,,Lawyer.com,lawyer.com,https://www.lawyer.com/marvin-ross-friedman-fl.html,https://www.lawyer.com/for-lawyers/forlawyers_b.php,26,"10,000",Dofollow,Paid,$199,Month,"Pricing Details:
1 Year - $1,791 Prepaid ($149.25/m; save $597 over 12 months)
1 Month - $199/m

Call 800-620-0900 to speak with a Member Representative
",
Legal,,AttorneyPages,attorneypages.com,https://www.attorneypages.com/united-states/fontana/attorney/mark-gonzales,https://www.attorneypages.com/signup,26,60,Dofollow,Paid,$49,Month,"Premium: $49/Month
Platinium: $69/Month",Mulitple
Legal,,Lawyer Land,lawyerland.com,https://www.lawyerland.comlawyers/profiles/orlando-personal-injury-lawyer/,https://www.lawyerland.commy-account/register.php,25,"4,000",Dofollow,Free,,,,
Legal,,Lawyer Legion,lawyerlegion.com,https://lawyers.lawyerlegion.comcalifornia/daniel-r-perlman-31000922,https://lawyers.lawyerlegion.comcreate,25,"11,000",Nofollow,Free,,,,
Legal + Regional,,Plano Chamber,https://www.planochamber.org/,https://members.planochamber.org/list/member/abernathy-roeder-boyd-hullett-p-c-229,https://members.planochamber.org/member/newmemberapp/,24,,Dofollow,,,,,
Legal,,Law Link,lawlink.com,https://lawlink.comprofile/55075/samar-shah,https://lawlink.comusers/sign_up,22,500,Dofollow,Free,,,,
Legal Niche,,Attorney 4 Injury,attorney4injury.com,https://www.attorney4injury.com/directory/listing_4d2312ecaa5f667c038ac95c2de82f31.shtml,https://neotecmedia.com/listing-manager/add-to-site/attorney4injury.com,21,,Nofollow,Paid,$45,Year,,
Legal,,Legal Reach,legalreach.com,https://www.legalreach.com/georgia/savannah/attorney/angela-gore-injury-attorney,https://www.legalreach.com/join,20,"2,300",Dofollow,Paid,$97,Year,,
Legal,,Elite Litigators,elitelitigators.com,https://elitelitigators.com/law-firm-reviews/john-foy-associates/,https://elitelitigators.com/add-listing/,17,"5,000",Citation,Free,,,,
Legal,,Legal Advice,legaladvice.com,https://www.legaladvice.comattorney/lawyers/marc-goldbach-2685,https://www.legaladvice.comattorney/register,15,"4,000",Dofollow,Undefined,,,,
Legal,,ReviewYourAttorney,reviewyourattorney.com,https://www.reviewyourattorney.com/attorney/texas/houston/criminal-defense/law-office-andreea-ionescu-2/,https://www.reviewyourattorney.com/,14,881,Citation,Free + Paid,$100,Month,$100/Month,Mulitple
Legal,,Chambers and Partners,chambers.com,https://chambers.com/lawyer/abigail-smith-usa-5:25922246,https://chambers.com/products/firm-profiles,13,335.7K,Dofollow,Undefined,,,"We need to fill out the Chambers forms and inquire about profile creation. After that, their team will reach out via email to clarify their structure, whether it's paid or free.",
Legal,,Lawful,lawful.com,https://lawful.com/fl/coral-gables/personal-injury-lawyers/bernstein---maryanoff-injury-attorneys-G5nDeQX8f,https://lawful.com/pro,13,"5,000",Citation,Free,,,,
Legal,,Law Tally,lawtally.com,https://lawtally.com/lawyers/john-yacovelle/,,10,200,Dofollow,Paid,$10,Month,"Standard Profile ($10/Month)
Elite Profile ($20/Month)
Diamond Profile ($80/Month)",
Legal,,UpCounsel,upcounsel.com,https://www.upcounsel.com/profile/ken-emanuelson,https://www.upcounsel.com/account/register#attorney,9,144.9K,Citation,Free,,,"Profile creation is free, but they don't allow you to share personal information, which means you can't include a link back to your website.",Single
Legal,,LawyersDirectoryUSA,lawyersdirectoryusa.com,https://lawyersdirectoryusa.com/lawyers/alan/,https://lawyersdirectoryusa.com/registration/,7,3,Dofollow,Paid,$40,Year,"Lawyers Directory USA offers three subscription tiers:

Silver: $40/year

Gold: $100/year

Diamond: $199/year",Single
Legal,1,Bar Association,Search By Indivudual State,https://apps.calbar.ca.gov/attorney/Licensee/Detail/332467,,,,Dofollow,Free,,,,
Legal Niche,,Texas Criminal Defense Lawyers Association (TCDLA),https://www.tcdla.com,,,,,,,,,,
Legal Niche,,Dallas Criminal Defense Lawyers Association (DCDLA),https://www.dcdla.com,,,,,,,,,,
Legal Niche,,National College for DUI Defense (NCDD),https://www.ncdd.com,,,,,,,,,,
Legal Niche,,DUI Defense Lawyers Association (DUIDLA),https://www.duidla.org,,,,,,,,,,
Legal + Regional,,Dallas Bar Association,https://www.dallasbar.org,,,,,,,,,,
Legal + Regional,,State Bar of Texas,https://www.texasbar.com,,,,,,,,,,
Legal,,Enjuris,https://www.enjuris.com,,,,,,,,,,
Regional,,Dallas Regional Chamber,https://www.dallaschamber.org,,,,,,,,,,
Regional,,Frisco Chamber of Commerce,https://www.friscochamber.com,,,,,,,,,,
Regional,,Richardson Chamber of Commerce,https://www.richardsonchamber.com,,,,,,,,,,
Regional,,Irving-Las Colinas Chamber,https://www.irvingchamber.com,,,,,,,,,,
Regional,,Denton Chamber of Commerce,https://www.denton-chamber.org,,,,,,,,,,
Regional,,Fort Worth Chamber,https://www.fortworthchamber.com,,,,,,,,,,
